"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W09";"CH013";"Y65T69";"M";"P";3
"2022-W09";"CH013";"Y70T74";"T";"P";5
"2022-W09";"CH013";"Y70T74";"F";"P";1
"2022-W09";"CH013";"Y70T74";"M";"P";4
"2022-W09";"CH013";"Y75T79";"T";"P";5
"2022-W09";"CH013";"Y75T79";"F";"P";1
"2022-W09";"CH013";"Y75T79";"M";"P";4
"2022-W09";"CH013";"Y80T84";"T";"P";6
"2022-W09";"CH013";"Y80T84";"M";"P";6
"2022-W09";"CH013";"Y85T89";"T";"P";14
"2022-W09";"CH013";"Y85T89";"F";"P";11
"2022-W09";"CH013";"Y85T89";"M";"P";3
"2022-W09";"CH013";"Y_GE90";"T";"P";20
"2022-W09";"CH013";"Y_GE90";"F";"P";16
"2022-W09";"CH013";"Y_GE90";"M";"P";4
"2022-W09";"CH021";"_T";"T";"P";207
"2022-W09";"CH021";"_T";"F";"P";108
"2022-W09";"CH021";"_T";"M";"P";99
"2022-W09";"CH021";"Y0T4";"T";"P";1
"2022-W09";"CH021";"Y0T4";"M";"P";1
"2022-W09";"CH021";"Y20T24";"T";"P";1
"2022-W09";"CH021";"Y20T24";"F";"P";1
"2022-W09";"CH021";"Y35T39";"T";"P";1
"2022-W09";"CH021";"Y35T39";"M";"P";1
"2022-W09";"CH021";"Y40T44";"T";"P";1
"2022-W09";"CH021";"Y40T44";"M";"P";1
"2022-W09";"CH021";"Y50T54";"T";"P";2
"2022-W09";"CH021";"Y50T54";"F";"P";2
"2022-W09";"CH021";"Y55T59";"T";"P";4
"2022-W09";"CH021";"Y55T59";"F";"P";1
